WATERYEAR,SACindex_0,SJRindex_0,SHASTAindex_0,AmerD893_0,FEATHERindex_0,Trinityindex_0,Amer403030_0,SACindex_1,SJRindex_1,SHASTAindex_1,AmerD893_1,FEATHERindex_1,Trinityindex_1,Amer403030_1,SACindex_2,SJRindex_2,SHASTAindex_2,AmerD893_2,FEATHERindex_2,Trinityindex_2,Amer403030_2,SACindex_3,SJRindex_3,SHASTAindex_3,AmerD893_3,FEATHERindex_3,Trinityindex_3,Amer403030_3,SACindex_4,SJRindex_4,SHASTAindex_4,AmerD893_4,FEATHERindex_4,Trinityindex_4,Amer403030_4,SACindex_5,SJRindex_5,SHASTAindex_5,AmerD893_5,FEATHERindex_5,Trinityindex_5,Amer403030_5,SACindex_6,SJRindex_6,SHASTAindex_6,AmerD893_6,FEATHERindex_6,Trinityindex_6,Amer403030_6,SACindex_7,SJRindex_7,SHASTAindex_7,AmerD893_7,FEATHERindex_7,Trinityindex_7,Amer403030_7,SACindex_8,SJRindex_8,SHASTAindex_8,AmerD893_8,FEATHERindex_8,Trinityindex_8,Amer403030_8,SACindex_9,SJRindex_9,SHASTAindex_9,AmerD893_9,FEATHERindex_9,Trinityindex_9,Amer403030_9,SACindex_10,SJRindex_10,SHASTAindex_10,AmerD893_10,FEATHERindex_10,Trinityindex_10,Amer403030_10,DriestYrs
1920,2,2,1,1,0,3,2,2,2,1,1,0,3,2,2,2,1,1,0,3,2,2,2,1,1,0,3,2,2,2,1,1,0,3,2,2,2,1,1,0,3,2,2,2,1,1,0,3,2,2,2,1,1,0,3,2,2,2,1,1,0,3,2,2,2,1,1,0,3,2,2,2,1,1,0,3,2,0
1921,2,2,1,1,0,3,2,2,2,1,1,0,3,2,2,2,1,1,0,3,2,2,2,1,1,0,3,2,2,2,1,1,0,3,2,2,2,1,1,0,3,2,2,2,1,1,0,3,2,2,2,1,1,0,3,2,2,2,1,1,0,3,2,2,2,1,1,0,3,2,2,2,1,1,0,3,2,0
1922,2,1,1,1,0,4,2,2,2,1,1,0,4,2,2,2,2,1,0,5,2,1,1,1,1,0,3,2,1,1,1,1,0,3,2,1,1,1,1,0,4,2,2,2,1,1,0,5,2,2,2,2,1,0,5,2,1,1,1,1,0,4,2,1,1,1,1,0,3,2,1,1,1,1,0,4,2,0
1923,3,2,3,1,0,4,3,4,3,4,1,0,5,3,4,3,4,1,0,5,3,2,1,1,1,0,4,3,2,1,1,1,0,4,3,3,2,3,1,0,5,3,4,3,4,1,0,5,3,4,4,4,1,0,5,3,2,2,2,1,0,4,3,2,2,1,1,0,4,3,3,2,3,1,0,4,3,0
1924,5,5,4,2,1,5,6,5,5,4,2,1,5,6,5,5,4,2,1,5,6,5,5,4,2,1,5,6,5,5,4,2,1,5,6,5,5,4,2,1,5,6,5,5,4,2,1,5,6,5,5,4,2,1,5,6,5,5,4,2,1,5,6,5,5,4,2,1,5,6,5,5,4,2,1,5,6,0
1925,4,3,1,1,0,2,5,5,4,1,1,1,2,5,5,5,1,1,1,3,5,3,3,1,1,0,2,5,3,2,1,1,0,1,5,4,3,1,1,0,2,5,5,4,1,1,1,2,5,5,5,2,1,1,3,5,3,3,1,1,0,2,5,3,3,1,1,0,1,5,4,4,1,1,0,2,5,0
1926,4,4,3,1,0,4,5,5,5,4,2,0,5,5,5,5,4,2,1,5,5,4,4,2,1,0,4,5,4,3,2,1,0,3,5,4,5,3,1,0,4,5,5,5,4,2,0,5,5,5,5,4,2,1,5,5,4,4,2,1,0,3,5,4,4,2,1,0,4,5,5,5,3,2,0,4,5,0
1927,1,2,1,1,0,2,1,2,3,1,1,0,2,1,2,3,1,1,0,2,1,1,2,1,1,0,1,1,1,2,1,1,0,1,1,2,2,1,1,0,1,1,2,3,1,1,0,1,1,3,4,1,1,0,2,1,1,2,1,1,0,1,1,1,2,1,1,0,1,1,2,3,1,1,0,1,1,0
1928,2,3,1,1,0,3,2,3,4,2,1,0,4,2,3,5,2,1,0,4,2,2,3,1,1,0,3,2,2,2,1,1,0,2,2,2,4,1,1,0,3,2,3,5,2,1,0,4,2,4,5,2,1,0,4,2,2,3,1,1,0,3,2,2,3,1,1,0,3,2,3,4,1,1,0,3,2,0
1929,5,5,3,1,0,5,6,5,5,4,2,0,5,6,5,5,4,2,0,5,6,4,5,3,1,0,5,6,4,4,3,1,0,4,6,5,5,4,2,0,5,6,5,5,4,2,0,5,6,5,5,4,2,0,5,6,4,5,3,2,0,5,6,4,5,3,1,0,5,6,5,5,4,2,0,5,6,0
