,d,c,p,r,m,Shasta Sep - 50th pctile,Shasta Apr - 50th pctile,Trinity Apr - Median,Oroville Apr - Median,Folsom Apr - Median,New Melones Apr - Median,Millerton Apr - Median,Avg_Fraction_Diff_Unimp8Riv,DEL_CVP_TOTAL_N - Annual Median,DEL_CVP_TOTAL_S - Annual Median,DEL_CVP_PAG_N - Annual Median,DEL_CVP_PAG_S - Annual Median,DEL_CVP_PEX_S - Annual Median,DEL_CVP_PSC_N - Annual Median,DEL_CVP_PRF_S - Annual Median,DEL_SWP_MWD - Annual Median,DEL_SWP_OTH - Annual Median,DEL_SWP_PAG - Annual Median,SAC_IN - May Median,SAC_IN - Sep Median,SJR_IN - May Median,SJR_IN - Sep Median,INFLOW - May Median,INFLOW - Sep Median,NDO - May Median,NDO - Sep Median,X2_PRV - May Median,X2_PRV - Sep Median,Equity,Consistency,Ann_Avg_CVPAgUnmet,Resil_DEL_CVP_PAG_S,Resil_DEL_CVP_PAG_N,Resil_DEL_CVP_PEX_S,Resil_DEL_CVP_PSC_N,Resil_DEL_CVP_PMI_S,Resil_DEL_CVP_PMI_N,Resil_DEL_CVP_PRF_S,Resil_DEL_SWP_MWD,Resil_DEL_SWP_OTH,Resil_DEL_SWP_PAG_S,Resil_CVP_All_Ag_Deliv,Reliab_DEL_CVP_PAG_S,Reliab_DEL_CVP_PAG_N,Reliab_DEL_CVP_PEX_S,Reliab_DEL_CVP_PSC_N,Reliab_DEL_CVP_PMI_S,Reliab_DEL_CVP_PMI_N,Reliab_DEL_CVP_PRF_S,Reliab_DEL_SWP_MWD,Reliab_DEL_SWP_OTH,Reliab_DEL_SWP_PAG_S,Reliab_CVP_All_Ag_Deliv
expl0000,1.0,1.0,0,1,0.0,3114.10400390625,4291.69921875,2054.3665771484375,3109.5927734375,792.0,1605.2105712890625,348.2879943847656,0.5460285884284978,2247.576255548651,2722.615435861635,334.12685105974026,1264.8664932831064,874.8070041927622,1616.183076638466,281.0580047910076,1200.8550362881747,669.748600438646,1714.7437146197863,14205.13037109375,13617.85107421875,4135.098876953125,1928.2835693359375,21118.7041015625,16195.54736328125,12186.92919921875,4021.9974365234375,64.03500938415527,85.67678833007812,0.7143606464219572,0.24677245236263295,0.7126500967688516,0.4673076923076923,0.5062500000000001,1.0,1.0,1.0,0.6328125,1.0,0.5265,0.46406250000000004,0.44999999999999996,0.6328125,0.6790123456790124,0.7777777777777778,1.0,1.0,0.9876543209876543,0.9012345679012346,1.0,0.691358024691358,0.7037037037037037,0.6666666666666666,0.9012345679012346
expl0001,1.0,1.0,0,1,0.4,3261.4486083984375,4306.902587890625,2087.3262939453125,2872.6400146484375,758.8435974121094,839.6883850097656,258.98536682128906,0.4845706522475512,2245.0368758474306,2963.867889979339,340.7039713121446,1486.4734353007166,874.8070041927622,1618.822316512431,281.0580047910076,1225.6066686961276,700.2529658407416,1739.2605978343113,15178.1064453125,14165.38037109375,8582.47802734375,1641.5264282226562,28088.83984375,15996.3876953125,16568.80419921875,3725.6025390625,62.720703125,85.91520309448242,0.7360492477505303,0.22932230680909046,0.7427622570550982,0.47960526315789465,0.5062500000000001,1.0,1.0,1.0,0.7232142857142853,1.0,0.50625,0.4455,0.47008928571428577,0.5785714285714283,0.7654320987654321,0.8024691358024691,1.0,1.0,0.9876543209876543,0.9135802469135802,1.0,0.7037037037037037,0.691358024691358,0.654320987654321,0.9135802469135802
expl0002,1.0,1.0,0,1,0.6,2938.436767578125,3825.3779296875,1826.3082275390625,2224.912353515625,581.5909118652344,255.20156860351562,199.2035140991211,0.38781959758892254,2147.5306531745346,2807.836099480243,234.5647154986169,1330.8947042064824,874.8070041927622,1619.0471061416501,281.0580047910076,1174.8794544339771,669.2561555260272,1629.4162591373033,21312.7724609375,10075.93505859375,12149.85107421875,1661.480712890625,38496.474609375,12173.11962890625,26380.626953125,3003.798095703125,59.6223030090332,86.3129997253418,0.6904170937548761,0.2703246500459746,0.7055580888453281,0.4125,0.4909090909090909,1.0,1.0,1.0,0.47647058823529403,1.0,0.3796875,0.3919354838709677,0.3919354838709677,0.5062500000000001,0.6666666666666666,0.5925925925925926,1.0,1.0,1.0,0.7901234567901234,1.0,0.6049382716049383,0.6172839506172839,0.6172839506172839,0.9012345679012346
expl0003,1.0,1.0,0,1,0.7,2015.3356323242188,2827.607421875,1401.4730224609375,1785.8573608398438,416.32041931152344,201.61678314208984,153.26580810546875,0.3258926735825766,1956.7640324918889,2114.1445583677687,62.54457831800477,685.1486901098835,874.8070041927622,1617.5051126766994,281.0580047910076,1103.5264339175894,632.4327225815955,1548.300962110472,24330.1064453125,9444.5341796875,12127.705078125,1666.576171875,41341.888671875,11582.42626953125,30501.923828125,3000.0,58.04243469238281,86.7003402709961,0.5843530824849061,0.35421991338724756,0.6120646271159899,0.17456896551724135,0.13064516129032258,1.0,1.0,1.0,0.29309210526315793,1.0,0.3831081081081081,0.3831081081081081,0.3831081081081081,0.5062500000000001,0.2839506172839506,0.2345679012345679,1.0,0.9629629629629629,0.9876543209876543,0.5308641975308642,1.0,0.5432098765432098,0.5432098765432098,0.5432098765432098,0.9012345679012346
expl0004,1.0,1.0,0,1,0.8,845.7887878417969,1753.8494262695312,920.6712341308594,1260.1629638671875,223.75704956054688,166.6379165649414,131.0,0.2837600169579744,1877.8207143988493,1853.6010993188277,0.0,412.94292522840266,874.8070041927622,1602.6783206252421,281.0580047910076,1021.7800874429498,576.3469728990035,1463.6002639325345,26050.4306640625,9042.203125,12513.96240234375,1663.0005493164062,43789.80078125,11090.60205078125,34117.150390625,3000.0,56.55817794799805,86.79792404174805,0.4795699588138653,0.475797352840366,0.5338742010520147,0.054,0.03944805194805195,1.0,1.0,1.0,0.15340909090909088,1.0,0.3231382978723404,0.3681818181818182,0.3231382978723404,0.5785714285714286,0.07407407407407407,0.04938271604938271,1.0,0.9506172839506173,0.9876543209876543,0.18518518518518517,1.0,0.41975308641975306,0.4567901234567901,0.41975308641975306,0.8271604938271605
expl0005,1.0,1.0,0,2,0.0,3138.65625,4289.5,2043.21826171875,3172.971923828125,792.0,1605.21044921875,348.2879943847656,0.5553763568027174,2248.1560909000113,2724.9939636734894,334.8271847322559,1264.404961270419,874.8070041927622,1618.7172636161363,281.0580047910076,1187.1298150332113,677.5194444186629,1717.3169339745893,14205.13037109375,14349.41259765625,4135.098876953125,1928.2835083007812,20541.5810546875,17193.0791015625,12069.85205078125,4160.823486328125,64.03637886047363,87.48867797851562,0.7143575284937673,0.2482713257064662,0.7105022102896426,0.5451923076923076,0.44296875,1.0,1.0,1.0,0.50625,1.0,0.4402173913043478,0.421875,0.3894230769230769,0.50625,0.6790123456790124,0.8024691358024691,1.0,1.0,0.9876543209876543,0.8765432098765432,1.0,0.7160493827160493,0.7037037037037037,0.6790123456790124,0.8765432098765432
expl0006,1.0,1.0,0,2,0.4,3269.5543212890625,4317.790771484375,2112.0621337890625,2990.718994140625,758.8794860839844,839.6877746582031,258.98536682128906,0.4893789623738381,2246.178024660221,3000.59051604468,339.67713453308613,1517.9643148021855,874.8070041927622,1618.9420532453555,281.0580047910076,1241.8894966970397,699.6966499593435,1727.3922517800133,15178.1064453125,12851.72412109375,8583.43115234375,1641.5264282226562,28094.6015625,14857.90869140625,16570.90966796875,4463.453857421875,62.71954154968262,88.44187927246094,0.7380797964584997,0.22821023128118126,0.7419034004175368,0.47960526315789465,0.47647058823529403,1.0,1.0,1.0,0.5785714285714283,1.0,0.4402173913043478,0.48599999999999993,0.3894230769230769,0.6328125,0.7654320987654321,0.7901234567901234,1.0,1.0,1.0,0.9135802469135802,1.0,0.7160493827160493,0.691358024691358,0.6790123456790124,0.9012345679012346
expl0007,1.0,1.0,0,2,0.6,2870.048828125,3765.4827880859375,1816.9923095703125,2290.026123046875,581.5660400390625,255.20156860351562,199.2035140991211,0.4074404600294577,2141.9003403012616,2802.9859174441503,207.34458929140706,1325.6657373652183,874.8070041927622,1619.0471061416501,281.0580047910076,1208.9531355701793,690.7417858432739,1682.4283177714703,21312.6904296875,10197.30908203125,12148.65966796875,1661.480712890625,38495.037109375,12306.75048828125,26380.626953125,4017.893798828125,59.59678649902344,88.91500091552734,0.6952247665474236,0.26679915936881604,0.7021193101667134,0.4125,0.45725806451612894,1.0,1.0,1.0,0.5062500000000001,1.0,0.42459677419354835,0.42459677419354835,0.41132812500000004,0.5062500000000001,0.6666666666666666,0.6172839506172839,1.0,1.0,1.0,0.8024691358024691,1.0,0.6172839506172839,0.6172839506172839,0.6049382716049383,0.9012345679012346
expl0008,1.0,1.0,0,2,0.7,1824.6343383789062,2655.4686279296875,1323.34130859375,1832.021728515625,416.8367156982422,201.61678314208984,153.26580810546875,0.35053936632214633,1938.9777591875566,2039.1802734375,47.47800017701693,626.1881791750066,874.8070041927622,1616.183076638466,281.0580047910076,1114.6385912165367,649.9491669911787,1581.3252609874,24329.7744140625,9448.166015625,12126.1279296875,1666.576171875,41352.21484375,11592.77978515625,30456.330078125,2776.4725341796875,57.901803970336914,89.0890998840332,0.5795417104543001,0.36130491416896904,0.6031017845791118,0.1716101694915254,0.10903846153846153,1.0,1.0,1.0,0.30375,1.0,0.39375,0.37607142857142856,0.3831081081081081,0.5062500000000001,0.2716049382716049,0.19753086419753085,1.0,0.9753086419753086,1.0,0.5061728395061729,1.0,0.5555555555555556,0.5679012345679012,0.5432098765432098,0.9012345679012346
expl0009,1.0,1.0,0,2,0.8,710.2527160644531,1752.854736328125,928.1305236816406,1275.5877075195312,223.0291519165039,166.63806915283203,131.0,0.3036062074173668,1865.4828557466872,1853.6010993188277,0.0,412.94292522840266,874.8070041927622,1594.7019608139794,281.0580047910076,1023.5610184422012,572.6314848352858,1472.8662835679174,26003.6943359375,8961.87255859375,12513.96240234375,1663.0005493164062,43905.87109375,10960.353515625,34001.072265625,2473.6444091796875,56.50556564331055,88.626953125,0.47988409284277267,0.48205271855315335,0.53103574449432,0.054,0.038942307692307686,1.0,1.0,1.0,0.13206521739130436,1.0,0.33749999999999997,0.3681818181818182,0.33749999999999997,0.6328125,0.07407407407407407,0.037037037037037035,1.0,0.9506172839506173,0.9876543209876543,0.14814814814814814,1.0,0.4444444444444444,0.4567901234567901,0.4444444444444444,0.8024691358024691
