,Equity,Consistency,Ann_Avg_CVPAgUnmet,Resil_DEL_CVP_PAG_S,Resil_DEL_CVP_PAG_N,Resil_DEL_CVP_PEX_S,Resil_DEL_CVP_PSC_N,Resil_DEL_CVP_PMI_S,Resil_DEL_CVP_PMI_N,Resil_DEL_CVP_PRF_S,Resil_DEL_SWP_MWD,Resil_DEL_SWP_OTH,Resil_DEL_SWP_PAG_S,Resil_CVP_All_Ag_Deliv,Reliab_DEL_CVP_PAG_S,Reliab_DEL_CVP_PAG_N,Reliab_DEL_CVP_PEX_S,Reliab_DEL_CVP_PSC_N,Reliab_DEL_CVP_PMI_S,Reliab_DEL_CVP_PMI_N,Reliab_DEL_CVP_PRF_S,Reliab_DEL_SWP_MWD,Reliab_DEL_SWP_OTH,Reliab_DEL_SWP_PAG_S,Reliab_CVP_All_Ag_Deliv
expl0000,0.6324152330045889,0.3192385205622979,0.6573789340299576,0.3698979591836735,0.5178571428571428,1.0,1.0,1.0,0.5178571428571429,1.0,0.44387755102040816,0.3452380952380953,0.29591836734693877,0.5178571428571429,0.5172413793103449,0.5862068965517241,1.0,1.0,1.0,0.7931034482758621,1.0,0.5172413793103449,0.4827586206896552,0.5172413793103449,0.7931034482758621
expl0001,0.6541267911265508,0.3083543212792441,0.6873760750671691,0.478021978021978,0.5178571428571428,1.0,1.0,1.0,0.5178571428571429,1.0,0.3983516483516484,0.29591836734693877,0.29591836734693877,0.41428571428571426,0.5517241379310345,0.5862068965517241,1.0,1.0,1.0,0.7931034482758621,1.0,0.5517241379310345,0.5172413793103449,0.5172413793103449,0.8275862068965517
expl0002,0.6137842625883716,0.34067461040490965,0.6626543155833458,0.3452380952380953,0.3236607142857143,1.0,1.0,1.0,0.41428571428571426,1.0,0.34523809523809523,0.3655462184873949,0.3655462184873949,0.41428571428571426,0.4827586206896552,0.4482758620689655,1.0,1.0,1.0,0.6551724137931034,1.0,0.3793103448275862,0.41379310344827586,0.41379310344827586,0.8275862068965517
expl0003,0.5186886623681447,0.4147254295033048,0.5742065541399191,0.17261904761904762,0.1657142857142857,1.0,1.0,1.0,0.3815789473684211,1.0,0.34523809523809523,0.34523809523809523,0.34523809523809523,0.41428571428571426,0.1724137931034483,0.13793103448275862,1.0,0.9655172413793104,1.0,0.3448275862068966,1.0,0.3793103448275862,0.3793103448275862,0.3793103448275862,0.8275862068965517
expl0004,0.44462952414167356,0.43686615259456885,0.508625687513457,0.0,0.0,1.0,1.0,1.0,0.07671957671957672,1.0,0.20714285714285713,0.20714285714285713,0.20714285714285713,0.38839285714285715,0.0,0.0,1.0,0.9310344827586207,1.0,0.06896551724137931,1.0,0.3103448275862069,0.3103448275862069,0.3103448275862069,0.7241379310344828
expl0005,0.632785525347052,0.31915402448657126,0.6551572737654456,0.478021978021978,0.41428571428571426,1.0,1.0,1.0,0.44387755102040805,1.0,0.44387755102040816,0.3452380952380953,0.3452380952380953,0.44387755102040805,0.5517241379310345,0.6551724137931034,1.0,1.0,1.0,0.7586206896551724,1.0,0.5172413793103449,0.4827586206896552,0.4827586206896552,0.7586206896551724
expl0006,0.6582786705040419,0.3048681336988333,0.686279440681203,0.44387755102040816,0.4707792207792208,1.0,1.0,1.0,0.6214285714285713,1.0,0.3983516483516484,0.44387755102040816,0.44387755102040816,0.5178571428571429,0.5172413793103449,0.6206896551724138,1.0,1.0,1.0,0.8275862068965517,1.0,0.5517241379310345,0.5172413793103449,0.5172413793103449,0.7931034482758621
expl0007,0.6204825646021519,0.330856438611258,0.6552445908100755,0.3452380952380953,0.3236607142857143,1.0,1.0,1.0,0.41428571428571426,1.0,0.38839285714285715,0.38839285714285715,0.38839285714285715,0.41428571428571426,0.4827586206896552,0.4482758620689655,1.0,1.0,1.0,0.6551724137931034,1.0,0.4482758620689655,0.4482758620689655,0.4482758620689655,0.8275862068965517
expl0008,0.5132666435871254,0.4384452605648027,0.566554711561597,0.17261904761904762,0.1657142857142857,1.0,1.0,1.0,0.31071428571428567,1.0,0.34523809523809523,0.34523809523809523,0.34523809523809523,0.41428571428571426,0.1724137931034483,0.13793103448275862,1.0,0.9655172413793104,1.0,0.3103448275862069,1.0,0.3793103448275862,0.3793103448275862,0.3793103448275862,0.8275862068965517
expl0009,0.44775742269627106,0.4463846376789406,0.5071894884657449,0.0,0.0,1.0,1.0,1.0,0.07671957671957672,1.0,0.20714285714285713,0.20714285714285713,0.20714285714285713,0.46031746031746035,0.0,0.0,1.0,0.9310344827586207,1.0,0.06896551724137931,1.0,0.3103448275862069,0.3103448275862069,0.3103448275862069,0.6896551724137931
expl0010,0.6704205706950583,0.2833573191854677,0.6760738139012782,0.5178571428571428,0.5753968253968255,1.0,1.0,1.0,0.776785714285714,1.0,0.3452380952380952,0.3452380952380952,0.3983516483516484,0.776785714285714,0.5862068965517241,0.6896551724137931,1.0,1.0,1.0,0.8620689655172413,1.0,0.5862068965517241,0.5862068965517241,0.5517241379310345,0.8620689655172413
expl0011,0.6835672043769758,0.2812443382038101,0.7015232233760523,0.5178571428571428,0.6214285714285713,1.0,1.0,1.0,0.776785714285714,1.0,0.3983516483516484,0.3983516483516484,0.3983516483516484,0.776785714285714,0.6551724137931034,0.6551724137931034,1.0,1.0,1.0,0.8620689655172413,1.0,0.5517241379310345,0.5517241379310345,0.5517241379310345,0.8620689655172413
expl0012,0.6434409709282741,0.3186795098476969,0.6771164400625135,0.3983516483516484,0.3452380952380953,1.0,1.0,1.0,0.5178571428571428,1.0,0.38839285714285715,0.38839285714285715,0.38839285714285715,0.41428571428571426,0.5517241379310345,0.4827586206896552,1.0,1.0,1.0,0.7241379310344828,1.0,0.4482758620689655,0.4482758620689655,0.4482758620689655,0.8275862068965517
expl0013,0.5438781442243171,0.39131137447407405,0.5934719917390024,0.2353896103896104,0.21577380952380953,1.0,1.0,1.0,0.3815789473684211,1.0,0.3655462184873949,0.3655462184873949,0.3655462184873949,0.41428571428571426,0.2413793103448276,0.1724137931034483,1.0,1.0,1.0,0.3448275862068966,1.0,0.41379310344827586,0.41379310344827586,0.41379310344827586,0.8275862068965517
expl0014,0.45384628634116,0.4097653300302187,0.5141778323507151,0.0,0.0,1.0,1.0,1.0,0.1195054945054945,1.0,0.20714285714285713,0.2725563909774436,0.2725563909774436,0.44387755102040805,0.0,0.0,1.0,0.9310344827586207,1.0,0.10344827586206896,1.0,0.3103448275862069,0.3448275862068966,0.3448275862068966,0.7586206896551724
expl0015,0.7134057534528151,0.2419783323515841,0.6856395558495777,0.6590909090909092,0.5753968253968255,1.0,1.0,1.0,0.6904761904761906,1.0,0.5753968253968255,0.5178571428571428,0.5178571428571428,0.6904761904761906,0.6206896551724138,0.6896551724137931,1.0,1.0,1.0,0.896551724137931,1.0,0.6896551724137931,0.6551724137931034,0.6551724137931034,0.896551724137931
expl0016,0.7356959645440233,0.22878071681199774,0.7209567568714701,0.5753968253968255,0.6214285714285713,1.0,1.0,1.0,1.0,1.0,0.37662337662337664,0.2824675324675325,0.3452380952380952,1.0,0.6896551724137931,0.6551724137931034,1.0,1.0,1.0,1.0,1.0,0.6206896551724138,0.6206896551724138,0.5862068965517241,1.0
expl0017,0.6989384239826957,0.27088575591190883,0.7015623318261494,0.4707792207792208,0.5178571428571428,1.0,1.0,1.0,0.8285714285714285,1.0,0.431547619047619,0.478021978021978,0.431547619047619,0.776785714285714,0.6206896551724138,0.5862068965517241,1.0,1.0,1.0,0.8275862068965517,1.0,0.5862068965517241,0.5517241379310345,0.5862068965517241,0.8620689655172413
expl0018,0.6184206059188613,0.3242791429944504,0.6306273352105088,0.34523809523809523,0.31071428571428567,1.0,1.0,1.0,0.5918367346938775,1.0,0.3452380952380953,0.3698979591836735,0.3698979591836735,0.776785714285714,0.3793103448275862,0.3103448275862069,1.0,1.0,1.0,0.5172413793103449,1.0,0.4827586206896552,0.5172413793103449,0.5172413793103449,0.8620689655172413
expl0019,0.4839307540181801,0.3983392537505369,0.530153503923837,0.036989795918367346,0.0,1.0,1.0,1.0,0.1657142857142857,1.0,0.20714285714285713,0.2725563909774436,0.23015873015873015,0.41428571428571426,0.034482758620689655,0.0,1.0,0.9655172413793104,1.0,0.13793103448275862,1.0,0.3103448275862069,0.3448275862068966,0.3793103448275862,0.8275862068965517
expl0020,0.762936050131042,0.30893494757807316,0.669810163290082,0.8630952380952382,0.6904761904761906,0.6904761904761906,0.6904761904761906,0.6904761904761906,0.44387755102040805,0.6904761904761906,0.44387755102040816,0.3452380952380953,0.3452380952380953,0.8285714285714285,0.7931034482758621,0.7931034482758621,0.896551724137931,0.7931034482758621,0.896551724137931,0.7586206896551724,0.896551724137931,0.5172413793103449,0.4827586206896552,0.4827586206896552,0.8275862068965517
expl0021,0.7700640914415967,0.2867513978330337,0.7086496629811959,0.6904761904761906,0.776785714285714,1.0,0.8285714285714285,1.0,0.6904761904761906,1.0,0.3983516483516484,0.29591836734693877,0.29591836734693877,0.6904761904761906,0.7931034482758621,0.8620689655172413,0.9655172413793104,0.8275862068965517,0.9655172413793104,0.7931034482758621,0.9655172413793104,0.5517241379310345,0.5172413793103449,0.5172413793103449,0.896551724137931
expl0022,0.735022199215573,0.31072901570307276,0.6807334972864139,0.5178571428571428,0.44387755102040805,0.0,0.44387755102040805,0.0,0.5178571428571428,0.0,0.34523809523809523,0.34523809523809523,0.3655462184873949,0.44387755102040805,0.7241379310344828,0.7586206896551724,0.9655172413793104,0.7586206896551724,0.9655172413793104,0.7241379310344828,0.9655172413793104,0.3793103448275862,0.3793103448275862,0.41379310344827586,0.7586206896551724
expl0023,0.6882112206765866,0.3196596640615281,0.6104282489294688,0.431547619047619,0.3983516483516484,1.0,0.44387755102040816,1.0,0.34523809523809523,0.0,0.20714285714285713,0.2725563909774436,0.2725563909774436,0.6214285714285713,0.5862068965517241,0.5517241379310345,1.0,0.5172413793103449,1.0,0.3793103448275862,0.9655172413793104,0.3103448275862069,0.3448275862068966,0.3448275862068966,0.6551724137931034
expl0024,0.624649830322309,0.30704961167084793,0.5195314024528664,0.34523809523809523,0.27018633540372666,0.0,0.27018633540372666,0.0,0.1657142857142857,0.0,0.20714285714285713,0.20714285714285713,0.20714285714285713,0.3452380952380953,0.3793103448275862,0.20689655172413793,0.9655172413793104,0.20689655172413793,0.9655172413793104,0.13793103448275862,0.9655172413793104,0.3103448275862069,0.3103448275862069,0.3103448275862069,0.4827586206896552
expl0025,0.7684938028760712,0.30961859374435347,0.6638810748340908,0.5178571428571428,0.44387755102040805,0.776785714285714,0.44387755102040805,0.776785714285714,0.44387755102040805,0.776785714285714,0.44387755102040816,0.3236607142857143,0.3452380952380953,0.6904761904761906,0.7241379310344828,0.7586206896551724,0.8620689655172413,0.7586206896551724,0.8620689655172413,0.7586206896551724,0.8620689655172413,0.5172413793103449,0.4482758620689655,0.4827586206896552,0.7931034482758621
