,Equity,Consistency,Ann_Avg_CVPAgUnmet,Resil_DEL_CVP_PAG_S,Resil_DEL_CVP_PAG_N,Resil_DEL_CVP_PEX_S,Resil_DEL_CVP_PSC_N,Resil_DEL_CVP_PMI_S,Resil_DEL_CVP_PMI_N,Resil_DEL_CVP_PRF_S,Resil_DEL_SWP_MWD,Resil_DEL_SWP_OTH,Resil_DEL_SWP_PAG_S,Resil_CVP_All_Ag_Deliv,Reliab_DEL_CVP_PAG_S,Reliab_DEL_CVP_PAG_N,Reliab_DEL_CVP_PEX_S,Reliab_DEL_CVP_PSC_N,Reliab_DEL_CVP_PMI_S,Reliab_DEL_CVP_PMI_N,Reliab_DEL_CVP_PRF_S,Reliab_DEL_SWP_MWD,Reliab_DEL_SWP_OTH,Reliab_DEL_SWP_PAG_S,Reliab_CVP_All_Ag_Deliv
expl0000,0.7595218079309122,0.19682953343183307,0.7427264380337955,0.8499999999999999,0.8499999999999999,1.0,1.0,1.0,1.0,1.0,0.7418181818181818,0.7933333333333332,0.7061538461538461,1.0,0.7647058823529411,0.8823529411764706,1.0,1.0,0.9803921568627451,0.9607843137254902,1.0,0.7843137254901961,0.8235294117647058,0.7450980392156863,0.9607843137254902
expl0001,0.7810876719444122,0.1733532954579062,0.7729550194912634,0.8499999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.8345454545454545,0.7418181818181818,0.7285714285714285,1.0,0.8823529411764706,0.9215686274509803,1.0,1.0,0.9803921568627451,0.9803921568627451,1.0,0.7843137254901961,0.7843137254901961,0.7254901960784313,0.9607843137254902
expl0002,0.7326377848263412,0.22641492103370836,0.7279542007190672,0.595,0.6599999999999999,1.0,1.0,1.0,0.8742857142857146,1.0,0.7285714285714285,0.7285714285714285,0.7285714285714285,1.0,0.7647058823529411,0.6666666666666666,1.0,1.0,1.0,0.8627450980392157,1.0,0.7254901960784313,0.7254901960784313,0.7254901960784313,0.9411764705882353
expl0003,0.6199043350015536,0.31939144909495853,0.6298962474487398,0.21,0.192972972972973,1.0,1.0,1.0,0.42947368421052634,1.0,0.68,0.68,0.68,1.0,0.3333333333333333,0.27450980392156865,1.0,0.9607843137254902,0.9803921568627451,0.6274509803921569,1.0,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.9411764705882353
expl0004,0.497380837838137,0.45519518912939494,0.5441819289490919,0.08869565217391305,0.06375,1.0,1.0,1.0,0.2353846153846154,1.0,0.4707692307692308,0.5765217391304349,0.4707692307692308,0.8499999999999999,0.09803921568627451,0.058823529411764705,1.0,0.9607843137254902,0.9803921568627451,0.23529411764705882,1.0,0.49019607843137253,0.5490196078431373,0.49019607843137253,0.8823529411764706
expl0005,0.759978108984264,0.19911797527097155,0.7406323972469265,0.8630769230769232,0.8499999999999999,1.0,1.0,1.0,1.0,1.0,0.6799999999999998,0.9066666666666665,0.6490909090909092,1.0,0.7450980392156863,0.8823529411764706,1.0,1.0,0.9803921568627451,0.9411764705882353,1.0,0.8235294117647058,0.8235294117647058,0.7843137254901961,0.9411764705882353
expl0006,0.7818235132970348,0.173997492054547,0.7721749931025081,1.0,0.8499999999999999,1.0,1.0,1.0,1.0,1.0,0.8160000000000002,0.7418181818181818,0.6799999999999998,1.0,0.9019607843137255,0.8823529411764706,1.0,1.0,1.0,0.9607843137254902,1.0,0.803921568627451,0.7843137254901961,0.7647058823529411,0.9607843137254902
expl0007,0.735283068336187,0.22645228734640552,0.726719760701355,0.595,0.6800000000000002,1.0,1.0,1.0,0.8499999999999999,1.0,0.7480000000000001,0.7480000000000001,0.70125,1.0,0.7647058823529411,0.7058823529411765,1.0,1.0,1.0,0.8823529411764706,1.0,0.7058823529411765,0.7058823529411765,0.6862745098039216,0.9411764705882353
expl0008,0.6142045544727233,0.3217419878933444,0.620025458394276,0.20400000000000001,0.153,1.0,1.0,1.0,0.4589999999999999,1.0,0.7799999999999999,0.765,0.68,1.0,0.3137254901960784,0.21568627450980393,1.0,0.9803921568627451,1.0,0.6078431372549019,1.0,0.6666666666666666,0.6862745098039216,0.6470588235294118,0.9411764705882353
expl0009,0.4961082121851206,0.4605761230797536,0.5406752059113407,0.08869565217391305,0.06375,1.0,1.0,1.0,0.19902439024390245,1.0,0.51,0.5765217391304349,0.51,0.8742857142857146,0.09803921568627451,0.058823529411764705,1.0,0.9607843137254902,0.9803921568627451,0.19607843137254902,1.0,0.5294117647058824,0.5490196078431373,0.5294117647058824,0.8627450980392157
