Study,d,c,p,r,m,Equity,Ann_Avg_CVPAgUnmet,Ann_Avg_SWPTotDel_TAF,Ann_Avg_CVPSCEXDel_TAF,Ann_Avg_SWPMIDel_TAF,Ann_Avg_CVPRefDel_TAF,Ann_Avg_SWPAGDel_TAF,Sep_Avg_NODstorage_TAF,Apr_Avg_NODstorage_TAF,Apr_Avg_ShstaStorage_TAF,Apr_Avg_OrovlStorage_TAF,Ann_Avg_NDO_TAF,Fall_Avg_X2_KM,Spring_Avg_X2_KM,Ann_Avg_CVPTotDel_TAF,Ann_Avg_CVPAgDel_TAF,Ann_Avg_BanksJones_TAF,Ann_Avg_SWPTotDel_TAF,Oct_StDev_X2,Apr_StDev_X2
expl0000,1,1,0,1,0,0.714360646,0.712650097,3450.95945,2459.30903,1757.988651,376.1855824,1628.482302,6680.744502,9478.75028,4103.715194,2749.799326,15444.33174,-85.61825011,-61.80623926,2186.902364,1460.060352,5314.46708,3450.95945,6.542444959,10.34687453
expl0001,1,1,0,1,0.4,0.736049248,0.742762257,3499.658107,2459.6327,1799.105249,376.2102164,1636.064364,6885.186129,9395.367171,4137.956748,2625.274924,15791.11813,-85.73480109,-61.49906941,2628.024274,1625.425898,5221.043788,3499.658107,6.414817256,10.20616275
expl0002,1,1,0,1,0.6,0.690417094,0.705558089,3373.532604,2457.731819,1744.720975,376.2406302,1564.325251,5736.111245,8038.145646,3592.731022,2176.265243,16972.32263,-85.94163037,-60.31747496,4814.926628,1426.223396,5033.508183,3373.532604,5.933861468,9.572896595
expl0003,1,1,0,1,0.7,0.584353082,0.612064627,3302.689714,2442.197441,1731.348519,374.3080946,1506.898363,4249.0382,6402.984684,2763.109577,1829.999037,18013.57777,-85.99532431,-59.3980045,2192.581719,932.8999947,4691.966771,3302.689714,5.909413228,9.231497018
expl0004,1,1,0,1,0.8,0.479569959,0.533874201,3170.08809,2391.434551,1678.806572,367.869906,1427.022581,2507.414995,4469.111422,1788.753759,1440.410153,19001.69792,-85.95916045,-58.4373434,2793.895111,544.7743005,4390.240189,3170.08809,5.926163274,8.921623806
expl0005,1,1,0,2,0,0.714357528,0.71050221,3476.272469,2459.552334,1771.728345,375.9607314,1640.044244,6772.509641,9525.054329,4089.167828,2816.321422,15415.16013,-85.96924121,-61.84809453,4986.476841,1448.741882,5333.475918,3476.272469,7.073957069,10.38428033
expl0006,1,1,0,2,0.4,0.738079796,0.7419034,3525.661401,2459.84589,1814.911832,375.9232164,1646.249695,6940.533412,9418.930765,4126.881811,2661.877606,15735.98176,-86.38437596,-61.47622567,2109.768182,1621.072477,5267.3264,3525.661401,7.187188221,10.24053989
expl0007,1,1,0,2,0.6,0.695224767,0.70211931,3429.659804,2456.676381,1784.427654,376.224977,1580.746993,5678.276251,7996.733329,3563.153199,2189.305242,16867.0925,-86.75612925,-60.28695107,2657.29107,1408.596049,5139.292428,3429.659804,6.847097587,9.631337921
expl0008,1,1,0,2,0.7,0.57954171,0.603101785,3357.738496,2436.431204,1768.236181,373.8390093,1525.060426,4121.879513,6300.914384,2678.221152,1852.822437,17894.35105,-86.89659843,-59.37438039,4767.059258,889.262101,4821.874261,3357.738496,6.870199825,9.280527355
expl0009,1,1,0,2,0.8,0.479884093,0.531035744,3197.020753,2387.622669,1695.843344,366.5060531,1436.818066,2406.487607,4419.816955,1756.425971,1451.097897,18879.63369,-86.92006171,-58.45390487,1957.667037,533.1495071,4515.005411,3197.020753,6.788440885,8.971064299
