,d,c,p,r,m,NDO_TAF,X2_APR_KM,X2_OCT_KM,SAC_IN_TAF,SJR_IN_TAF,ES_YBP_IN_TAF,TOTAL_DELTA_IN_TAF,CVP_SWP_EXPORTS_TAF,OTHER_EXPORTS_TAF,ADJ_CVP_SWP_EXPORTS_TAF,DEL_NOD_TOTAL_TAF,DEL_NOD_AG_TOTAL_TAF,DEL_NOD_MI_TOTAL_TAF,DEL_SJV_AG_TOTAL_TAF,DEL_SJV_MI_TOTAL_TAF,DEL_SJV_TOTAL_TAF,DEL_SOCAL_MI_TOTAL_TAF,DEL_CCOAST_MI_TOTAL_TAF,STO_NOD_TOTAL_APR_TAF,STO_NOD_TOTAL_OCT_TAF,STO_SOD_TOTAL_APR_TAF,STO_SOD_TOTAL_OCT_TAF
expl0000,1.0,1.0,0,1,0.0,15444.359413132031,64.35416923170732,85.80045024390243,15674.20029350373,3167.8080353817377,3072.892997784165,21914.901399345294,5314.476603282403,246.615839971917,5288.658351382976,3493.4510183327557,3102.2339733999634,167.24259641454546,2630.3002757270715,211.65958027140496,2841.9598581254586,1663.6119498063372,43.05830730399428,9478.750318292683,6680.744520731709,4883.511341463414,3403.1128902439023
expl0001,1.0,1.0,0,1,0.4,15791.146429052207,63.63630617073171,85.84960608536586,15585.867327826649,3402.523008889902,3180.1830326674544,22168.573438909087,5221.053144595042,246.9243519352792,5190.165303208779,3485.724165338037,3093.0466878216166,168.17301748370892,2812.454504141907,220.01855179691998,3032.473054777263,1713.1594507037207,44.14228806744432,9395.36726097561,6885.186090243904,3860.196623170732,2243.0170180487808
expl0002,1.0,1.0,0,1,0.6,16972.35304676396,61.21132630487805,86.08595150000001,15615.190401573878,4150.036219893732,3397.181432328813,23162.408101073976,5033.517203107438,247.08832334126188,5004.441202392332,3327.341077545172,2964.3606697007353,151.95858404560855,2667.160731302721,214.08091414672037,2881.241656033461,1705.6874721641361,44.18868440607152,8038.1457048780485,5736.1112280487805,2812.7326768292683,1262.2501791463415
expl0003,1.0,1.0,0,1,0.7,18013.61004583673,59.7661593902439,86.26021136585366,15852.266718663977,4536.439080848781,3472.420194448869,23861.125961031245,4691.975178545455,246.3481469684338,4666.936999330127,3088.456916357186,2782.747860827114,122.30910420113689,2275.7605492189477,197.17162050100382,2472.9321711444472,1717.5221195942918,43.80349553701561,6402.984702439025,4249.0382158536595,2616.945265853659,1231.9131679268291
expl0004,1.0,1.0,0,1,0.8,19001.731974045717,58.572146121951214,86.1522935,16259.566857963318,4878.107334373231,3407.859725621617,24545.533904664382,4390.248056062568,245.37961250106838,4377.742706055476,2840.0136409800125,2588.5761343085364,96.46602260855472,1943.2978613360217,183.9185970072566,2127.2164586658337,1698.0595254759285,42.48939044787189,4469.1113853658535,2507.4149848780485,2550.9168707317076,1279.4731497560974
expl0005,1.0,1.0,0,2,0.0,15415.187749656925,64.40413729268292,84.77608429268294,15642.025562750252,3167.808833772385,3101.0812691254264,21910.91573843016,5333.485476043539,252.7929566214957,5227.830342101989,3496.944058731063,3106.0482519959387,167.37161732591815,2626.659065015763,211.88514481906066,2838.5442087565407,1682.7495911138883,43.2994240104329,9525.054386585365,6772.50964390244,4880.178541463414,3430.686602439024
expl0006,1.0,1.0,0,2,0.4,15736.009958921994,63.62776325609756,84.95271401219513,15554.757653863337,3402.5636740404757,3209.212776622302,22166.53416954969,5267.335839379158,253.7388783765693,5137.736327101391,3488.08751102697,3096.2027566832717,167.97640553432777,2815.37991816924,220.60423669023183,3035.98416894739,1740.9146446920702,45.171372495509544,9418.93073902439,6940.533447560976,3864.539370731707,2297.862676219512
expl0007,1.0,1.0,0,2,0.6,16867.122725675144,61.168936853658536,85.01063658536586,15610.11136198428,4150.222418826204,3409.525378723491,23169.859142295507,5139.301637921678,254.1158074546019,4984.559667113446,3321.1399990179316,2959.6587523586113,151.32643795815844,2669.3579594755092,215.96108363431568,2885.3190495122763,1769.96483375717,46.35515084636033,7996.733330487805,5678.276257317073,2828.2415060975604,1427.4196840243903
expl0008,1.0,1.0,0,2,0.7,17894.38311532763,59.722107914634165,85.25264985365854,15882.364848991736,4536.991519720782,3460.378108668584,23879.734369100584,4821.8829015538795,254.47914415171942,4668.832103606373,3074.854847669777,2771.6010772651184,121.30048150312115,2256.5669135155817,199.43949277956864,2456.0064108793385,1801.8533646940216,46.64500118647813,6300.914420731708,4121.879501707317,2648.947112195122,1461.7469002439025
expl0009,1.0,1.0,0,2,0.8,18879.66751916577,58.54897124390243,85.62200341463416,16297.335526372102,4878.276203015038,3381.9059929419154,24557.517737749647,4515.01350171817,254.75173176781294,4373.516127355875,2835.4517539216695,2584.623325530612,96.81429663052128,1943.4576821118321,186.36280517210238,2129.820484425076,1764.543290832929,44.556242847509054,4419.816926829269,2406.487634146341,2561.4257585365854,1507.7246457317076
expl0010,1.0,1.0,0,3,0.0,15160.842927224352,65.02376225609757,89.7231428292683,15533.257516061276,3167.9037793615807,3165.8471705896477,21867.00852484499,5546.249989332795,250.46608338501915,5516.663866837111,3521.0453364000005,3122.1262846504264,171.72888309428743,2739.8263154365654,220.47890426261637,2960.305218076678,1750.6350641562187,46.02741220516993,9739.072220731709,7165.727009756098,4958.102846341463,3520.4997419512197
expl0011,1.0,1.0,0,3,0.4,15511.52751715864,63.95028913414634,90.00718613414634,15490.155196852249,3402.1723431795203,3251.0923706106105,22143.41993363838,5472.416790932473,250.0261587459948,5440.898713874471,3506.468006483693,3107.8253521385154,171.47491137818184,2898.736289559766,228.62819221797224,3127.3644750523686,1803.618160516025,47.50225587131345,9555.48027195122,7148.604254878048,3933.3476609756094,2433.248670731707
expl0012,1.0,1.0,0,3,0.6,16653.198263879058,61.41489696341464,91.22310335365854,15535.440899313042,4149.30722979609,3433.4011174922884,23118.14925263294,5306.044473022374,249.45702208092726,5265.386554572935,3361.5347161030436,2992.8234104391213,155.31362375937113,2753.309605364967,221.60894174184236,2974.918556086031,1815.8063479780046,47.55739970300561,8287.361429268292,6058.190409756097,2879.6438951219516,1419.339418780488
expl0013,1.0,1.0,0,3,0.7,17656.360206514008,59.91712131707316,91.53300674390243,15738.238944258823,4534.939564687523,3505.748311097126,23778.926811088895,4964.272506267768,248.8445714314372,4924.226869512865,3145.843068852893,2828.5595967014096,128.24586224444752,2391.993889736263,205.10907437152184,2597.1029673090106,1809.1960781155572,46.577510324992865,6752.715556097561,4694.71360402439,2661.920085365854,1333.4631371951218
expl0014,1.0,1.0,0,3,0.8,18715.809983431325,58.66600507317073,91.56093646341465,16143.629646801859,4877.828943480267,3459.9179185786825,24481.376441205404,4608.5997402201965,247.73672923892764,4576.533081604877,2881.1480278597296,2627.2342332029625,97.50660761623865,1976.6696039291269,187.5771212797904,2164.246726970288,1798.897149915928,46.294544801039464,4669.322524390244,2780.297701707317,2569.060025609756,1445.5076924390244
expl0015,1.0,1.0,0,4,0.0,14903.921278431122,64.91290904878049,91.08341075609756,15396.743291542836,3167.6835535909695,3256.1439245178067,21820.570831394478,5743.9939904228995,263.2060172219311,5376.604694205624,3542.615973482685,3138.9403902394583,174.6724484758476,2805.7689960599882,228.25717113494053,3034.0261720912717,1862.9381739993064,49.65287483077783,9944.864576829268,7656.591142682928,5002.497973170732,3608.44715
expl0016,1.0,1.0,0,4,0.4,15221.658170276083,63.80678279268294,91.53501540243903,15314.891816066922,3401.758733389236,3350.9817245468334,22067.632330718003,5673.632016416046,262.8926282716387,5239.4753711163885,3544.777681687886,3139.6595677416285,175.61632170729288,2977.3300021983473,235.34030187562996,3212.670299079379,1913.2118918214717,51.00090249298609,9849.823336585367,7775.521862195122,3975.9686109756094,2528.136447195122
expl0017,1.0,1.0,0,4,0.6,16185.659549145545,61.32311767073171,93.97703096341463,15346.971806259224,4147.620892749446,3509.681168645684,23004.27389545495,5645.80542504092,263.359440740899,5152.777867330018,3447.6773323945986,3060.456241693366,165.67957858749446,2902.4156209506955,232.27768902615603,3134.693301700383,1941.5444871544366,51.147448964883296,8840.050642682927,6814.126824390244,2921.3851146341462,1606.9143360975609
expl0018,1.0,1.0,0,4,0.7,17042.858289272972,59.785589426829276,95.43571792682928,15539.888266664784,4532.542571245798,3587.824224039355,23660.25514035638,5445.218634412417,262.7286249068333,4921.521361106869,3239.5271574514018,2903.524301119606,138.69481004374603,2589.0486282238257,217.89992258341462,2806.9485453745615,1963.3565580497564,51.314027214570615,7445.8185414634145,5504.218291463416,2706.499508536585,1584.8599478048782
expl0019,1.0,1.0,0,4,0.8,18291.413342435073,58.41537941463414,95.60982436585365,15967.681397498085,4877.228255920903,3521.4168504383874,24366.32651546462,4903.709664145133,261.75407922475307,4369.052554757184,2962.986257151945,2693.1928174147324,103.23481129410685,2023.1660945048175,191.07610600334613,2214.2421971748436,1879.9628611612172,48.25732158609555,5004.454201219512,3198.4366780487803,2583.861504878049,1817.8364951219517
expl0020,1.0,1.0,1,1,0.0,15429.514297964119,64.40205429268293,85.78878776829269,15690.6601874356,3169.343819135497,3070.471490987954,21930.475592374118,5344.941627272728,246.57011914809917,5319.903658111394,3487.0076692452167,3096.989278988052,170.51399518333403,2715.87992991921,199.05128495992744,2914.931218737593,1659.8594929145818,42.70272335893934,9499.597546341463,6674.266231707318,4864.359595121951,3392.376313414634
expl0021,1.0,1.0,1,1,0.4,15778.716770489016,63.66176837804878,85.86010945121951,15588.541404452328,3426.6325541270717,3179.7926340671715,22194.96666756622,5259.957473599677,246.8429431762387,5228.890103326455,3493.058828463858,3099.5900908058466,171.99833674696234,2891.2735326332595,209.68579437675464,3100.9593278513203,1695.1907972909657,43.80183826442444,9382.939097560975,6845.917743902439,3835.2910256097553,2219.265686707317
expl0022,1.0,1.0,1,1,0.6,16888.258619733926,61.225542012195135,86.19836798780489,15627.340036041927,4184.621535385689,3385.238738194565,23197.20039293771,5152.098500874824,247.3937213887523,5121.998090954169,3342.7479334316954,2974.7693273842788,160.72121939755695,2858.178264622858,208.0228412396372,3066.2011055690386,1658.6260142873614,43.16070387626124,8088.540719512195,5750.05925,2760.75015,1176.0969049999999
expl0023,1.0,1.0,1,1,0.7,17878.447738541425,59.810476341463406,86.24650180487805,15973.621056454747,4566.142178362266,3479.9117324078293,24019.67490438057,4984.175101105422,247.60254538546266,4953.34419127692,2972.452496722556,2690.38486555275,127.45772141444388,2699.837064348559,206.67697753482767,2906.514041105261,1631.5254715415763,41.79793735376674,6639.097242682927,4497.218498780488,2542.7095719512195,1066.4253347560975
expl0024,1.0,1.0,1,1,0.8,18970.221545672244,58.602075243902455,86.10710702439023,16485.34533663374,4901.774097390044,3526.678955129377,24913.798415992747,4786.454107543093,247.827068402177,4761.001326715569,2482.362168809184,2285.114790262962,95.1670832940641,2454.843317707801,206.57798628241892,2661.4213090667204,1605.885718159992,40.21730717950898,5125.711670731707,3302.774615853658,2500.4938707317074,1141.7781224390242
expl0025,1.0,1.0,1,2,0.0,15396.490451194517,64.44442790243903,84.81012009756097,15666.25203867043,3169.3718252258013,3095.675224025648,21931.299163036485,5372.189697873816,253.16947593687567,5266.670754231639,3485.538483584737,3095.552196895483,170.36270719735538,2723.797928613828,200.25791540961907,2924.0558518190687,1675.0892277418102,43.26119248450667,9524.36117804878,6745.495813414636,4857.920775609756,3413.8220604878047
expl0026,1.0,1.0,1,2,0.4,15721.590718578675,63.66572695121951,85.00570580487803,15559.281211295303,3426.0735416993357,3208.1757685199027,22193.530568033057,5308.582422714776,253.90790653673858,5176.271011098483,3491.370007642169,3097.8429482918864,171.95947562580932,2901.501579916872,211.00063610791372,3112.5022180317683,1725.1079562841041,44.8537415561561,9421.73064390244,6917.667876829269,3848.6175329268294,2270.018289634146
expl0027,1.0,1.0,1,2,0.6,16788.68347333207,61.18713636585366,85.22327458536586,15623.755919840354,4182.996942191574,3399.361560958524,23206.11444474098,5253.5600156154005,254.4214809665552,5095.599161361944,3334.0721035424476,2967.815033414459,160.2187253242895,2873.9682298234225,210.61129266879257,3084.5795258834914,1710.6014208456686,44.86196482490821,8079.801109756099,5728.410920731707,2771.6130799999996,1326.3243318292682
expl0028,1.0,1.0,1,2,0.7,17769.530507294658,59.78947434146341,85.40370314634146,16016.699172476518,4563.089229687563,3476.260857801903,24056.049272961907,5122.367709652006,254.7015246923766,4967.231725709558,2938.596333222778,2661.0145104043063,126.41790726747672,2716.0250325876236,210.70664365627897,2926.731671771659,1705.6096533078007,44.38203533153154,6528.040945121952,4386.617341463414,2583.7805548780493,1271.9928847560977
