Study,Cluster,d,c,p,r,m
0,1,1,1,1,1,1
1,1,1,1,1,1,2
2,1,1,1,1,1,3
3,2,1,1,1,1,4
4,2,1,1,1,1,5
5,1,1,1,1,2,1
6,1,1,1,1,2,2
7,1,1,1,1,2,3
8,2,1,1,1,2,4
9,2,1,1,1,2,5
10,1,1,1,1,3,1
11,1,1,1,1,3,2
12,1,1,1,1,3,3
13,2,1,1,1,3,4
14,2,1,1,1,3,5
15,4,1,1,1,4,1
16,4,1,1,1,4,2
17,1,1,1,1,4,3
18,1,1,1,1,4,4
19,2,1,1,1,4,5
20,1,1,1,2,1,1
21,1,1,1,2,1,2
22,3,1,1,2,1,3
23,3,1,1,2,1,4
24,3,1,1,2,1,5
25,1,1,1,2,2,1
26,1,1,1,2,2,2
27,1,1,1,2,2,3
28,3,1,1,2,2,4
29,3,1,1,2,2,5
30,1,1,1,2,3,1
31,1,1,1,2,3,2
32,1,1,1,2,3,3
33,3,1,1,2,3,4
34,3,1,1,2,3,5
35,4,1,1,2,4,1
36,4,1,1,2,4,2
37,1,1,1,2,4,3
38,1,1,1,2,4,4
39,3,1,1,2,4,5
40,1,1,2,1,1,1
41,1,1,2,1,1,2
42,1,1,2,1,1,3
43,2,1,2,1,1,4
44,2,1,2,1,1,5
45,1,1,2,1,2,1
46,1,1,2,1,2,2
47,1,1,2,1,2,3
48,2,1,2,1,2,4
49,2,1,2,1,2,5
50,1,1,2,1,3,1
51,1,1,2,1,3,2
52,1,1,2,1,3,3
53,2,1,2,1,3,4
54,2,1,2,1,3,5
55,4,1,2,1,4,1
56,4,1,2,1,4,2
57,1,1,2,1,4,3
58,1,1,2,1,4,4
59,2,1,2,1,4,5
60,1,1,2,2,1,1
61,1,1,2,2,1,2
62,3,1,2,2,1,3
63,3,1,2,2,1,4
64,3,1,2,2,1,5
65,1,1,2,2,2,1
66,1,1,2,2,2,2
67,1,1,2,2,2,3
68,3,1,2,2,2,4
69,3,1,2,2,2,5
70,1,1,2,2,3,1
71,1,1,2,2,3,2
72,1,1,2,2,3,3
73,3,1,2,2,3,4
74,3,1,2,2,3,5
75,4,1,2,2,4,1
76,4,1,2,2,4,2
77,1,1,2,2,4,3
78,1,1,2,2,4,4
79,3,1,2,2,4,5
80,1,1,3,1,1,1
81,1,1,3,1,1,2
82,2,1,3,1,1,3
83,2,1,3,1,1,4
84,2,1,3,1,1,5
85,1,1,3,1,2,1
86,1,1,3,1,2,2
87,1,1,3,1,2,3
88,2,1,3,1,2,4
89,2,1,3,1,2,5
90,1,1,3,1,3,1
91,1,1,3,1,3,2
92,1,1,3,1,3,3
93,2,1,3,1,3,4
94,2,1,3,1,3,5
95,4,1,3,1,4,1
